period,ward,category,budgeted_amount,actual_spend,growth
2024-01,Ward 1 – Kasba,Roads & Pothole Repair,13.0,13.3,0.3000000000000007
2024-01,Ward 1 – Kasba,Drainage & Flooding,8.6,7.3,-1.2999999999999998
2024-01,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.0,-0.2999999999999998
2024-01,Ward 1 – Kasba,Waste Management,5.9,5.3,-0.6000000000000005
2024-01,Ward 1 – Kasba,Parks & Greening,2.3,2.4,0.10000000000000009
2024-01,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,16.2,0.3999999999999986
2024-01,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.9,0.9000000000000004
2024-01,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,3.8,-0.6000000000000005
2024-01,Ward 2 – Shivajinagar,Waste Management,6.4,6.1,-0.3000000000000007
2024-01,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.6,-0.2999999999999998
2024-01,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,10.6,-1.200000000000001
2024-01,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.0,-0.1999999999999993
2024-01,Ward 3 – Kothrud,Streetlight Maintenance,4.0,3.4,-0.6000000000000001
2024-01,Ward 3 – Kothrud,Waste Management,5.1,4.6,-0.5
2024-01,Ward 3 – Kothrud,Parks & Greening,3.3,3.3,0.0
2024-01,Ward 4 – Warje,Roads & Pothole Repair,10.3,10.2,-0.10000000000000142
2024-01,Ward 4 – Warje,Drainage & Flooding,6.7,6.1,-0.6000000000000005
2024-01,Ward 4 – Warje,Streetlight Maintenance,3.0,3.1,0.10000000000000009
2024-01,Ward 4 – Warje,Waste Management,4.4,4.7,0.2999999999999998
2024-01,Ward 4 – Warje,Parks & Greening,1.6,1.3,-0.30000000000000004
2024-01,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,15.3,1.0
2024-01,Ward 5 – Hadapsar,Drainage & Flooding,10.6,11.0,0.40000000000000036
2024-01,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,3.4,-0.30000000000000027
2024-01,Ward 5 – Hadapsar,Waste Management,6.1,5.4,-0.6999999999999993
2024-01,Ward 5 – Hadapsar,Parks & Greening,2.5,2.8,0.2999999999999998
2024-02,Ward 1 – Kasba,Roads & Pothole Repair,13.0,12.2,-0.8000000000000007
2024-02,Ward 1 – Kasba,Drainage & Flooding,8.6,7.4,-1.1999999999999993
2024-02,Ward 1 – Kasba,Streetlight Maintenance,3.3,2.8,-0.5
2024-02,Ward 1 – Kasba,Waste Management,5.9,6.4,0.5
2024-02,Ward 1 – Kasba,Parks & Greening,2.3,2.3,0.0
2024-02,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,16.8,1.0
