period,actual_spend,previous_month_spend,growth_absolute,growth_percent,formula_used,notes
2024-01,13.3,N/A,N/A,N/A,N/A — first period or previous was NULL,
2024-02,12.2,13.3,-1.1,-8.3%,(12.2 - 13.3) / 13.3 * 100,
2024-03,12.3,12.2,0.1,+0.8%,(12.3 - 12.2) / 12.2 * 100,
2024-04,13.4,12.3,1.1,+8.9%,(13.4 - 12.3) / 12.3 * 100,
2024-05,14.1,13.4,0.7,+5.2%,(14.1 - 13.4) / 13.4 * 100,
2024-06,14.8,14.1,0.7,+5.0%,(14.8 - 14.1) / 14.1 * 100,
2024-07,19.7,14.8,4.9,+33.1%,(19.7 - 14.8) / 14.8 * 100,
2024-08,20.2,19.7,0.5,+2.5%,(20.2 - 19.7) / 19.7 * 100,
2024-09,20.1,20.2,-0.1,-0.5%,(20.1 - 20.2) / 20.2 * 100,
2024-10,13.1,20.1,-7.0,-34.8%,(13.1 - 20.1) / 20.1 * 100,
2024-11,14.2,13.1,1.1,+8.4%,(14.2 - 13.1) / 13.1 * 100,
2024-12,12.7,14.2,-1.5,-10.6%,(12.7 - 14.2) / 14.2 * 100,
